		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	6:45 a	20.0	20.0	19.9	82	16.8	4.8	NNE	0.40	16.1	WSW	20.0	20.8	20.8	1010.5	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	6:50 a	20.2	20.2	20.0	82	17.0	3.2	SW	0.27	6.4	SSE	20.2	21.0	21.0	1010.5	0.00	0.0	0.000	0.006	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	6:55 a	20.3	20.3	20.2	81	16.9	3.2	S	0.27	8.0	SSE	20.3	21.1	21.1	1010.5	0.00	0.0	0.000	0.007	34.7	42	19.9	37.9	96	8	99.0	5
10/01/15	7:00 a	20.4	20.4	20.3	81	17.1	3.2	SSW	0.27	9.7	S	20.4	21.3	21.3	1010.7	0.00	0.0	0.000	0.007	34.7	42	19.9	37.9	99	8	100.0	5
10/01/15	7:05 a	20.6	20.6	20.4	80	17.0	3.2	SSW	0.27	6.4	SSW	20.6	21.4	21.4	1010.8	0.00	0.0	0.000	0.008	34.8	42	20.0	38.0	98	8	100.0	5
10/01/15	7:10 a	20.7	20.7	20.6	80	17.1	3.2	SSW	0.27	6.4	SSE	20.7	21.4	21.4	1010.8	0.00	0.0	0.000	0.008	34.8	42	20.0	38.0	96	8	99.0	5
10/01/15	7:15 a	20.7	20.7	20.7	79	16.9	3.2	SSE	0.27	8.0	SSE	20.7	21.4	21.4	1010.9	0.00	0.0	0.000	0.008	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	7:20 a	20.9	20.9	20.7	79	17.2	3.2	S	0.27	8.0	SW	20.9	21.6	21.6	1010.9	0.00	0.0	0.000	0.009	34.7	42	19.9	37.9	96	8	99.0	5
10/01/15	7:25 a	21.0	21.0	20.9	78	17.0	3.2	SE	0.27	6.4	SW	21.0	21.6	21.6	1011.0	0.00	0.0	0.000	0.009	34.8	42	20.0	38.0	96	8	99.0	5
10/01/15	7:30 a	21.1	21.1	21.0	78	17.1	1.6	SE	0.13	6.4	SE	21.1	21.6	21.6	1011.1	0.00	0.0	0.000	0.009	34.8	42	20.0	38.0	97	8	100.0	5
10/01/15	7:35 a	21.2	21.2	21.1	78	17.2	3.2	S	0.27	8.0	SSE	21.2	21.7	21.7	1011.1	0.00	0.0	0.000	0.010	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	7:40 a	21.3	21.3	21.2	77	17.1	3.2	SSE	0.27	9.7	SSE	21.3	21.8	21.8	1011.1	0.00	0.0	0.000	0.010	34.7	42	19.9	37.9	97	8	100.0	5
